# Mapeo FW NDS32 (633 funcs) -> modulo .c + lineas ASSERT

========== (sin ASSERT) (441 funcs) ==========
  0xf002a114  FUN_ram_f002a114        0x3a8

========== wifi/mgmt/mt6582/rlm_phy.c (6 funcs) ==========
  0xf0042ee4  FUN_ram_f0042ee4        0x67b
  0xf0043f84  FUN_ram_f0043f84        0xe91
  0xf0044e50  FUN_ram_f0044e50        0x808
  0xf004518c  FUN_ram_f004518c        0xba2
  0xf00452b4  FUN_ram_f00452b4        0x1321
  0xf004571c  FUN_ram_f004571c        0xc21,0xc55

========== wifi/mgmt/mt6582/rlm_sensor.c (1 funcs) ==========
  0xf004655c  FUN_ram_f004655c        0x5ec

========== wifi/mgmt/mt6582/rlm_test.c (4 funcs) ==========
  0xf00468c8  FUN_ram_f00468c8        0x666
  0xf0046c78  FUN_ram_f0046c78        0x9ca
  0xf004735c  FUN_ram_f004735c        0x702,0x71b
  0xf00481e8  FUN_ram_f00481e8        0x315

========== wifi/mgmt/mt6582/rlm_txpwr.c (4 funcs) ==========
  0xf0048a48  FUN_ram_f0048a48        0x822
  0xf0049bac  FUN_ram_f0049bac        0xd2e
  0xf004a020  FUN_ram_f004a020        0x652
  0xf004a200  FUN_ram_f004a200        0x455

========== wifi/mgmt/mt6582/roaming_fsm.c (1 funcs) ==========
  0xf00426f0  FUN_ram_f00426f0        0x4d2

========== wifi/mgmt/p2p_fsm.c (3 funcs) ==========
  0xf002a1ac  FUN_ram_f002a1ac        0x196,0x197
  0xf002a228  FUN_ram_f002a228        0x1c9,0x1cb,0x1cc
  0xf002a3a4  FUN_ram_f002a3a4        0xe2

========== wifi/mgmt/pm_timer.c (5 funcs) ==========
  0xf0030e04  FUN_ram_f0030e04        0x593
  0xf0030e9c  FUN_ram_f0030e9c        0x5d4,0x5d5
  0xf0030f88  FUN_ram_f0030f88        0x548
  0xf0031078  FUN_ram_f0031078        0x4bb,0x501
  0xf0031220  FUN_ram_f0031220        0x2d7,0x2d8,0x338,0x339,0x35d,0x35e

========== wifi/mgmt/privacy.c (2 funcs) ==========
  0xf002a480  FUN_ram_f002a480        0x191
  0xf002a554  FUN_ram_f002a554        0x504

========== wifi/mgmt/pwr_mgt_fsm.c (39 funcs) ==========
  0xf002b140  FUN_ram_f002b140        0x202d
  0xf002b184  FUN_ram_f002b184        0x2161
  0xf002b584  FUN_ram_f002b584        0x2bd7
  0xf002b6b8  FUN_ram_f002b6b8        0x298c,0x298d,0x298e,0x29a8
  0xf002b844  FUN_ram_f002b844        0x240a,0x240b,0x2424
  0xf002bde4  FUN_ram_f002bde4        0x21c3
  0xf002c094  FUN_ram_f002c094        0x26ba
  0xf002c334  FUN_ram_f002c334        0x2371
  0xf002c5cc  FUN_ram_f002c5cc        0x2651,0x2652
  0xf002c640  FUN_ram_f002c640        0x25fc
  0xf002c690  FUN_ram_f002c690        0x2625,0x263b
  0xf002c750  FUN_ram_f002c750        0x25cf
  0xf002c7a8  FUN_ram_f002c7a8        0x2184
  0xf002c824  FUN_ram_f002c824        0x2056
  0xf002c88c  FUN_ram_f002c88c        0x1fe1,0x1fe2
  0xf002c928  FUN_ram_f002c928        0x200e
  0xf002c974  FUN_ram_f002c974        0x1d36
  0xf002c9d4  FUN_ram_f002c9d4        0x1f86,0x1fbf
  0xf002caf0  FUN_ram_f002caf0        0x2223,0x2226
  0xf002ccb8  FUN_ram_f002ccb8        0x1f4d,0x1f58
  0xf002cd78  FUN_ram_f002cd78        0x1e29
  0xf002cdec  FUN_ram_f002cdec        0x22ca
  0xf002ce58  FUN_ram_f002ce58        0x2559,0x2560
  0xf002cfa8  FUN_ram_f002cfa8        0x1ce2,0x1ce5,0x1ce6
  0xf002d178  FUN_ram_f002d178        0x1f0a
  0xf002d278  FUN_ram_f002d278        0x229c
  0xf002d38c  FUN_ram_f002d38c        0x1df3,0x1df4,0x1df8
  0xf002d478  FUN_ram_f002d478        0x1e8b,0x1e8c
